Name,SystemText
Guide_Jump,ジャンプ
Guide_CreateReady,箱の生成準備
Guide_Create,箱の生成
Guide_LockRotation,向き固定
Title_Start,はじめから
Title_Load,つづきから
Title_Quit,終了
Title_Japanese,日本語
Title_English,英語
Pause_Resume,ゲーム再開
Pause_Title,タイトルに戻る
Pause_Quit,ゲーム終了
Game_Clear,ゲームクリア！
Game_Save,セーブ！
Stage_01,ステージ1
Stage_02,ステージ2
Stage_03,ステージ3
Stage_04,ステージ4
Stage_05,ステージ5
Stage_06,ステージ6
Stage_07,ステージ7
Stage_08,ステージ8
Select_CollectMedal,集めたメダル：{0} / {1}
Select_UsedCubes,使った箱：{0} / 目標：{1}
Title_Pre,Press
Title_Name,CUBE DOG!
Title_Shop,ショップ
Select_Decide,決定
Select_Change,ステージ変更
Select_Title,タイトルに戻る
Select_Clear,クリア！
Select_FullyClear,完全クリア！
Select_Complete,達成！
Ending_Clear,全ステージクリア！
Ending_Thanks,Thank you for playing
